dataset,fold,n_features,train_score,val_score,test_score,metric
svd,1,7,0.919496855345912,0.7433962264150943,0.6884422110552764,accuracy
svd,1,8,0.9308176100628931,0.7471698113207547,0.6884422110552764,accuracy
svd,1,9,0.9270440251572327,0.7509433962264151,0.678391959798995,accuracy
svd,2,1,0.710691823899371,0.6955974842767295,0.6733668341708543,accuracy
svd,2,2,0.7610062893081762,0.6981132075471698,0.6758793969849246,accuracy
svd,2,3,0.8125786163522013,0.7232704402515723,0.6809045226130653,accuracy
svd,2,4,0.8377358490566038,0.7295597484276729,0.6934673366834171,accuracy
svd,2,5,0.8654088050314466,0.7320754716981132,0.6859296482412061,accuracy
svd,3,1,0.720754716981132,0.6893081761006289,0.6608040201005025,accuracy
svd,3,2,0.7761006289308177,0.6981132075471698,0.678391959798995,accuracy
svd,3,3,0.8213836477987422,0.7132075471698113,0.6608040201005025,accuracy
svd,3,4,0.8654088050314466,0.7144654088050314,0.6758793969849246,accuracy
svd,3,5,0.8943396226415095,0.7345911949685534,0.6683417085427136,accuracy
svd,3,6,0.9257861635220126,0.7396226415094339,0.6934673366834171,accuracy
svd,3,7,0.9308176100628931,0.7559748427672957,0.6884422110552764,accuracy
svd,4,1,0.7044025157232704,0.6922110552763819,0.6700251889168766,accuracy
svd,4,2,0.7723270440251573,0.6984924623115578,0.6498740554156172,accuracy
svd,5,1,0.710691823899371,0.7022613065326633,0.6801007556675063,accuracy
svd,5,2,0.7773584905660378,0.7085427135678392,0.6574307304785895,accuracy
svd,5,3,0.7937106918238994,0.7135678391959799,0.6675062972292192,accuracy
svd,5,4,0.8314465408805032,0.7160804020100503,0.6826196473551638,accuracy
svd,5,5,0.8654088050314466,0.7223618090452262,0.6523929471032746,accuracy
svd,5,6,0.8905660377358491,0.7261306532663316,0.6624685138539043,accuracy
svd,5,7,0.9069182389937107,0.7324120603015075,0.6675062972292192,accuracy
pamap2,1,1,0.6067102713178295,0.5847159985466877,0.556873977086743,accuracy
pamap2,1,2,0.8667635658914729,0.8010173186387308,0.6571194762684124,accuracy
pamap2,1,3,0.9754118217054264,0.8982681361269226,0.49263502454991814,accuracy
pamap2,1,4,0.9949127906976745,0.9346009446530217,0.5752864157119476,accuracy
pamap2,1,5,1.0,0.9547050987041298,0.5380523731587561,accuracy
pamap2,1,6,1.0,0.9619716604093497,0.6747135842880524,accuracy
pamap2,1,7,1.0,0.9683904565822938,0.5740589198036007,accuracy
pamap2,1,8,1.0,0.9734770497759477,0.6382978723404256,accuracy
pamap2,1,9,1.0,0.9768681119050503,0.7123567921440261,accuracy
pamap2,1,10,1.0,0.9788058616931089,0.7049918166939444,accuracy
pamap2,1,11,1.0,0.9808647208429212,0.6595744680851063,accuracy
pamap2,1,12,1.0,0.9826813612692261,0.690671031096563,accuracy
pamap2,1,13,1.0,0.9838924548867628,0.6812602291325696,accuracy
pamap2,1,14,1.0,0.9840135642485164,0.7127659574468085,accuracy
pamap2,1,15,1.0,0.9852246578660531,0.7152209492635024,accuracy
pamap2,1,16,1.0,0.9853457672278068,0.7393617021276596,accuracy
pamap2,1,17,1.0,0.9858302046748214,0.7483633387888707,accuracy
pamap2,1,18,1.0,0.986677970207097,0.7307692307692307,accuracy
remc_E003,1,1,0.8865835584008229,0.8733869098955156,0.865992489703388,auc
remc_E003,1,2,0.9315601662410924,0.9040675721926,0.8976253724071419,auc
remc_E003,1,3,0.9465841625923649,0.9150827208218772,0.9118074788367878,auc
remc_E003,1,4,0.9574461634021288,0.9260353872038863,0.9238762097156655,auc
remc_E003,1,5,0.9636095434264512,0.9312682754126095,0.924289488118025,auc
remc_E003,1,6,0.9657837856357882,0.9321628104632712,0.9254297594619545,auc
remc_E003,1,7,0.9689420127167583,0.9331263486089412,0.9250360698078182,auc
remc_E003,1,8,0.9700814663876088,0.933376903894125,0.9251123628272129,auc
remc_E003,1,9,0.971017079094936,0.9338349105557052,0.9250811386571132,auc
remc_E003,1,10,0.9715931978347838,0.9345071104871072,0.9249197155890498,auc
remc_E003,1,11,0.9734684389127352,0.9348610046305388,0.9252298953165513,auc
remc_E003,1,12,0.9744339664695799,0.93548442714721,0.9245223438393828,auc
remc_E003,2,1,0.8898669710220157,0.884988074139224,0.8747778858773291,auc
remc_E003,2,2,0.9323351524165268,0.9150489409629377,0.9055414102658944,auc
remc_E003,2,3,0.9515571747561405,0.9287373098970649,0.9220972937223306,auc
remc_E003,2,4,0.9568665447722511,0.9319172938977013,0.9249981505840176,auc
remc_E003,2,5,0.9604414798124501,0.9333519697927302,0.9253870437137098,auc
remc_E003,2,6,0.9630019256763352,0.934517890264402,0.9263550766689764,auc
remc_E003,2,7,0.9652656913885391,0.935522896326776,0.9270634545675859,auc
remc_E003,2,8,0.9662693124852865,0.9365046988922724,0.9268017364174027,auc
remc_E003,3,1,0.8916382837865569,0.8782172200884826,0.8841015949776051,auc
remc_E003,3,2,0.9361946100956723,0.9110108327182564,0.9060844459547598,auc
remc_E003,3,3,0.952563006309749,0.9277320091871116,0.9235027025051555,auc
remc_E003,3,4,0.9582774057046735,0.9305366490025443,0.9273363723683401,auc
remc_E003,3,5,0.9602297917270703,0.9316325906741094,0.9291489473949466,auc
remc_E003,3,6,0.964343488786168,0.9328680479745189,0.9286452578469024,auc
remc_E003,3,7,0.9652310240567705,0.9333841968717267,0.9303486362804428,auc
remc_E003,3,8,0.9661274379957641,0.9342242739515334,0.929496873381761,auc
remc_E003,3,9,0.9685974393330905,0.9349221835742814,0.930312532143734,auc
remc_E003,3,10,0.9703119801972536,0.9354202853072512,0.930502336748146,auc
remc_E003,3,11,0.9701627375181948,0.9357681167747286,0.9311585478533069,auc
remc_E003,3,12,0.9721392543613234,0.936341574626129,0.9295287039675941,auc
remc_E003,3,13,0.9731414018201638,0.9366339386867852,0.9306852152528631,auc
remc_E003,3,14,0.9726930843278241,0.9370962407388583,0.9300244358691798,auc
remc_E003,3,15,0.9732364883061306,0.9372230865217883,0.9301272958178441,auc
remc_E003,3,16,0.9744590183140035,0.9373216461370966,0.9290928017782687,auc
remc_E003,3,17,0.9753688055170057,0.9379303143742348,0.9309696274318348,auc
