dataset,variant,fold,score,n_features,time,metric,test_subject
remc_E003,n_trials_1000,1,0.926855172283777,14,344.7507562637329,auc,
remc_E003,n_trials_1000,2,0.9280071724920076,14,333.0289218425751,auc,
remc_E003,n_trials_1000,3,0.9343262805989928,13,302.81587266921997,auc,
remc_E003,n_trials_1000,4,0.9305241670704434,9,202.2209758758545,auc,
remc_E003,n_trials_1000,5,0.9406571953018068,12,274.2404570579529,auc,
remc_E003,raw_only,1,0.92847411604669,11,70.59514689445496,auc,
remc_E003,raw_only,2,0.9308483470052576,11,69.9623670578003,auc,
remc_E003,raw_only,3,0.9328088753104588,10,63.70633411407471,auc,
remc_E003,raw_only,4,0.9319901419525818,16,105.91133713722228,auc,
remc_E003,raw_only,5,0.9389614802868522,13,83.59751772880554,auc,
remc_E003,nsga2,1,0.9293809425339769,14,85.06929612159729,auc,
remc_E003,nsga2,2,0.9310527406281768,12,72.45896100997925,auc,
remc_E003,nsga2,3,0.9332427144062578,16,100.5739607810974,auc,
remc_E003,nsga2,4,0.931064107959884,9,54.106367111206055,auc,
remc_E003,nsga2,5,0.9364330125518572,9,53.85152196884155,auc,
remc_E003,parallel,1,0.9302244369781364,10,12.219778060913086,auc,
remc_E003,parallel,2,0.9226637602591008,10,12.29286003112793,auc,
remc_E003,parallel,3,0.92956377655754,10,12.265486001968384,auc,
remc_E003,parallel,4,0.928839651702759,10,12.30814003944397,auc,
remc_E003,parallel,5,0.9339718900642626,10,12.21861481666565,auc,
azt1d_s1,resampling,1,23.8918924820098,9,22.13040590286255,rmse,
azt1d_s1,aggregate,1,24.127483799866443,15,44.27854013442993,rmse,
azt1d_s1,pattern,1,24.679120086584405,15,48.198845863342285,rmse,
azt1d_s1,decision_tree,1,25.64358635143111,16,19.569302082061768,rmse,
azt1d_s1,n_trials_1000,1,24.701482402710813,12,141.92066931724548,rmse,
azt1d_s1,raw_only,1,24.077388781238287,13,44.869394063949585,rmse,
azt1d_s1,nsga2,1,24.081510410526903,10,27.47845697402954,rmse,
azt1d_s1,parallel,1,23.807359857770763,12,8.125706911087036,rmse,
azt1d_s2,resampling,1,38.016249385692475,11,35.46246123313904,rmse,
azt1d_s2,aggregate,1,37.0668469399078,12,40.93197798728943,rmse,
azt1d_s2,pattern,1,37.76683949677988,14,58.31279182434082,rmse,
azt1d_s2,decision_tree,1,36.78831945617911,21,38.40680503845215,rmse,
azt1d_s2,n_trials_1000,1,38.217132740882455,9,114.45649909973145,rmse,
